"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"124","0.0","0","0.9149","Cosine","-","0","26465 (-) 7799","26465","7799","0.9149","false","-","26465 (-) 7799"
"124","43.99","43","0.8751","Cosine","-","0","26465 (-) 31485","26465","31485","0.8751","false","-","26465 (-) 31485"
"124","0.0","0","0.9149","Cosine","-","0","26465 (-) 29021","26465","29021","0.9149","false","-","26465 (-) 29021"
"174","721.438","721","0.965","Cosine","-","0","22610 (-) 22628","22610","22628","0.965","false","-","22610 (-) 22628"
"2545","-33.985","-33","0.8969","Cosine","-","0","17931 (-) 18142","17931","18142","0.8969","false","-","17931 (-) 18142"
"37","-70.078","-70","0.9461","Cosine","-","0","3193 (-) 11808","3193","11808","0.9461","false","-","3193 (-) 11808"
"37","-74.052","-74","0.9335","Cosine","-","0","3193 (-) 10400","3193","10400","0.9335","false","-","3193 (-) 10400"
"37","-41.063","-41","0.9674","Cosine","-","0","3193 (-) 4371","3193","4371","0.9674","false","-","3193 (-) 4371"
"37","13.032","13","0.9515","Cosine","-","0","3193 (-) 2535","3193","2535","0.9515","false","-","3193 (-) 2535"
"37","27.048","27","0.949","Cosine","-","0","3193 (-) 2456","3193","2456","0.949","false","-","3193 (-) 2456"
"37","-76.031","-76","0.9401","Cosine","-","0","3193 (-) 10136","3193","10136","0.9401","false","-","3193 (-) 10136"
"37","-35.963","-35","0.9476","Cosine","-","0","3193 (-) 1626","3193","1626","0.9476","false","-","3193 (-) 1626"
"3183","-0.002","0","0.8859","Cosine","-","0","8268 (-) 423","8268","423","0.8859","false","-","8268 (-) 423"
"260","-35.997","-35","0.8078","Cosine","-","0","19610 (-) 23576","19610","23576","0.8078","false","-","19610 (-) 23576"
"260","-44.027","-44","0.8066","Cosine","-","0","19610 (-) 23555","19610","23555","0.8066","false","-","19610 (-) 23555"
"260","15.995","15","0.9618","Cosine","-","0","19610 (-) 22563","19610","22563","0.9618","false","-","19610 (-) 22563"
"260","30.01","30","0.8551","Cosine","-","0","19610 (-) 18362","19610","18362","0.8551","false","-","19610 (-) 18362"
"260","1.98","1","0.906","Cosine","-","0","19610 (-) 31234","19610","31234","0.906","false","-","19610 (-) 31234"
"260","-30.01","-30","0.7802","Cosine","-","0","19610 (-) 20212","19610","20212","0.7802","false","-","19610 (-) 20212"
"260","-14.015","-14","0.9614","Cosine","-","0","19610 (-) 23482","19610","23482","0.9614","false","-","19610 (-) 23482"
"260","-14.016","-14","0.8917","Cosine","-","0","19610 (-) 14094","19610","14094","0.8917","false","-","19610 (-) 14094"
"260","-58.041","-58","0.8068","Cosine","-","0","19610 (-) 30029","19610","30029","0.8068","false","-","19610 (-) 30029"
"260","-28.031","-28","0.9289","Cosine","-","0","19610 (-) 28614","19610","28614","0.9289","false","-","19610 (-) 28614"
"324","-14.016","-14","0.9624","Cosine","-","0","16365 (-) 18836","16365","18836","0.9624","false","-","16365 (-) 18836"
"324","-28.03","-28","0.9424","Cosine","-","0","16365 (-) 12422","16365","12422","0.9424","false","-","16365 (-) 12422"
"265","-44.027","-44","0.9669","Cosine","-","0","21756 (-) 22139","21756","22139","0.9669","false","-","21756 (-) 22139"
"424","-14.016","-14","0.8819","Cosine","-","0","5151 (-) 7760","5151","7760","0.8819","false","-","5151 (-) 7760"
"424","-13.979","-13","0.7863","Cosine","-","0","5151 (-) 4505","5151","4505","0.7863","false","-","5151 (-) 4505"
"424","0.0","0","0.9207","Cosine","-","0","5151 (-) 4209","5151","4209","0.9207","false","-","5151 (-) 4209"
"425","0.036","0","0.8393","Cosine","-","0","649 (-) 835","649","835","0.8393","false","-","649 (-) 835"
"414","46.042","46","0.8816","Cosine","-","0","15603 (-) 18530","15603","18530","0.8816","false","-","15603 (-) 18530"
"414","43.022","43","0.8657","Cosine","-","0","15603 (-) 17880","15603","17880","0.8657","false","-","15603 (-) 17880"
"414","44.026","44","0.9292","Cosine","-","0","15603 (-) 17843","15603","17843","0.9292","false","-","15603 (-) 17843"
"248","2.013","2","0.7081","Cosine","-","0","43235 (-) 43238","43235","43238","0.7081","false","-","43235 (-) 43238"
"420","-42.01","-42","0.7848","Cosine","-","0","41360 (-) 41378","41360","41378","0.7848","false","-","41360 (-) 41378"
"420","-32.064","-32","0.7597","Cosine","-","0","41360 (-) 41116","41360","41116","0.7597","false","-","41360 (-) 41116"
"420","17.027","17","0.7405","Cosine","-","0","41360 (-) 40089","41360","40089","0.7405","false","-","41360 (-) 40089"
"420","0.0","0","0.8319","Cosine","-","0","41360 (-) 40146","41360","40146","0.8319","false","-","41360 (-) 40146"
"861","14.991","14","0.9152","Cosine","-","0","21352 (-) 28415","21352","28415","0.9152","false","-","21352 (-) 28415"
"65","-0.092","0","0.8404","Cosine","-","0","20823 (-) 11067","20823","11067","0.8404","false","-","20823 (-) 11067"
"65","-0.092","0","0.8131","Cosine","-","0","20823 (-) 7090","20823","7090","0.8131","false","-","20823 (-) 7090"
"310","-0.984","0","0.8216","Cosine","-","0","11246 (-) 5178","11246","5178","0.8216","false","-","11246 (-) 5178"
"310","-41.026","-41","0.8753","Cosine","-","0","11246 (-) 11337","11246","11337","0.8753","false","-","11246 (-) 11337"
"65","-18.011","-18","0.8089","Cosine","-","0","20946 (-) 11067","20946","11067","0.8089","false","-","20946 (-) 11067"
"65","-12.995","-12","0.8004","Cosine","-","0","20946 (-) 3966","20946","3966","0.8004","false","-","20946 (-) 3966"
"65","0.0","0","0.9431","Cosine","-","0","20946 (-) 12272","20946","12272","0.9431","false","-","20946 (-) 12272"
"65","0.0","0","0.9445","Cosine","-","0","20946 (-) 9539","20946","9539","0.9445","false","-","20946 (-) 9539"
"65","-39.958","-39","0.7945","Cosine","-","0","20946 (-) 136","20946","136","0.7945","false","-","20946 (-) 136"
"65","0.0","0","0.9423","Cosine","-","0","20946 (-) 22015","20946","22015","0.9423","false","-","20946 (-) 22015"
"65","-0.0","0","0.9578","Cosine","-","0","20946 (-) 16410","20946","16410","0.9578","false","-","20946 (-) 16410"
"65","0.0","0","0.9499","Cosine","-","0","20946 (-) 14958","20946","14958","0.9499","false","-","20946 (-) 14958"
"23","-28.031","-28","0.8392","Cosine","-","0","34489 (-) 36165","34489","36165","0.8392","false","-","34489 (-) 36165"
"23","43.006","43","0.8252","Cosine","-","0","34489 (-) 22662","34489","22662","0.8252","false","-","34489 (-) 22662"
"1504","35.039","35","0.8637","Cosine","-","0","30671 (-) 30591","30671","30591","0.8637","false","-","30671 (-) 30591"
"2769","28.031","28","0.8138","Cosine","-","0","8817 (-) 9949","8817","9949","0.8138","false","-","8817 (-) 9949"
"2769","-14.015","-14","0.7285","Cosine","-","0","8817 (-) 7498","8817","7498","0.7285","false","-","8817 (-) 7498"
"21","-14.015","-14","0.9453","Cosine","-","0","23388 (-) 20957","23388","20957","0.9453","false","-","23388 (-) 20957"
"21","-33.984","-33","0.9258","Cosine","-","0","23388 (-) 21968","23388","21968","0.9258","false","-","23388 (-) 21968"
"21","-33.984","-33","0.9245","Cosine","-","0","23388 (-) 22744","23388","22744","0.9245","false","-","23388 (-) 22744"
"676","43.991","43","0.8067","Cosine","-","0","2194 (-) 2411","2194","2411","0.8067","false","-","2194 (-) 2411"
"1453","-0.004","0","0.8586","Cosine","-","0","23642 (-) 23369","23642","23369","0.8586","false","-","23642 (-) 23369"
"1453","-2.021","-2","0.7902","Cosine","-","0","23642 (-) 22518","23642","22518","0.7902","false","-","23642 (-) 22518"
"1453","-0.0","0","0.8841","Cosine","-","0","23642 (-) 15494","23642","15494","0.8841","false","-","23642 (-) 15494"
"6","2.015","2","0.9184","Cosine","-","0","40655 (-) 35429","40655","35429","0.9184","false","-","40655 (-) 35429"
"6","2.016","2","0.9096","Cosine","-","0","40655 (-) 33856","40655","33856","0.9096","false","-","40655 (-) 33856"
"6","2.013","2","0.9075","Cosine","-","0","40655 (-) 13619","40655","13619","0.9075","false","-","40655 (-) 13619"
"6","48.021","48","0.9481","Cosine","-","0","40655 (-) 29633","40655","29633","0.9481","false","-","40655 (-) 29633"
"6","43.99","43","0.8816","Cosine","-","0","40655 (-) 39697","40655","39697","0.8816","false","-","40655 (-) 39697"
"6","4.027","4","0.9297","Cosine","-","0","40655 (-) 14343","40655","14343","0.9297","false","-","40655 (-) 14343"
"401","-48.0","-48","0.7225","Cosine","-","0","3555 (-) 9239","3555","9239","0.7225","false","-","3555 (-) 9239"
